Orthogroup	HabuProteins	HumanProteins
OG0015480	XP_015669577.1	
OG0015481	XP_015669583.1	
OG0015482	XP_015669596.1	
OG0015483	XP_015669607.1	
OG0015484	XP_015669663.1	
OG0015485	XP_015669694.1	
OG0015486	XP_015669764.1	
OG0015487	XP_015669775.1	
OG0015488	XP_015669788.1	
OG0015489	XP_015669790.1	
OG0015490	XP_015669809.1	
OG0015491	XP_015669847.1	
OG0015492	XP_015669899.1	
OG0015493	XP_015669924.1	
OG0015494	XP_015669926.1	
OG0015495	XP_015669928.1	
OG0015496	XP_015670058.1	
OG0015497	XP_015670059.1	
OG0015498	XP_015670136.1	
OG0015499	XP_015670139.1	
OG0015500	XP_015670143.1	
OG0015501	XP_015670206.1	
OG0015502	XP_015670226.1	
OG0015503	XP_015670290.1	
OG0015504	XP_015670294.1	
OG0015505	XP_015670295.1	
OG0015506	XP_015670322.1	
OG0015507	XP_015670327.1	
OG0015508	XP_015670354.1	
OG0015509	XP_015670403.1	
OG0015510	XP_015670440.1	
OG0015511	XP_015670447.1	
OG0015512	XP_015670450.1	
OG0015513	XP_015670454.1	
OG0015514	XP_015670543.1	
OG0015515	XP_015670628.1	
OG0015516	XP_015670633.1	
OG0015517	XP_015670634.1	
OG0015518	XP_015670689.1	
OG0015519	XP_015670700.1	
OG0015520	XP_015670741.1	
OG0015521	XP_015670757.1	
OG0015522	XP_015670790.1	
OG0015523	XP_015670812.1	
OG0015524	XP_015670826.1	
OG0015525	XP_015670848.1	
OG0015526	XP_015670886.1	
OG0015527	XP_015671016.1	
OG0015528	XP_015671056.1	
OG0015529	XP_015671142.1	
OG0015530	XP_015671169.1	
OG0015531	XP_015671187.1	
OG0015532	XP_015671213.2	
OG0015533	XP_015671218.1	
OG0015534	XP_015671308.1	
OG0015535	XP_015671333.1	
OG0015536	XP_015671362.1	
OG0015537	XP_015671379.1	
OG0015538	XP_015671391.1	
OG0015539	XP_015671392.1	
OG0015540	XP_015671413.1	
OG0015541	XP_015671423.1	
OG0015542	XP_015671522.1	
OG0015543	XP_015671526.1	
OG0015544	XP_015671546.1	
OG0015545	XP_015671552.1	
OG0015546	XP_015671568.1	
OG0015547	XP_015671572.1	
OG0015548	XP_015671618.1	
OG0015549	XP_015671705.1	
OG0015550	XP_015671753.1	
OG0015551	XP_015671762.1	
OG0015552	XP_015671801.1	
OG0015553	XP_015671813.1	
OG0015554	XP_015671822.1	
OG0015555	XP_015671824.1	
OG0015556	XP_015671870.1	
OG0015557	XP_015671872.1	
OG0015558	XP_015671904.1	
OG0015559	XP_015671917.1	
OG0015560	XP_015671950.1	
OG0015561	XP_015671961.1	
OG0015562	XP_015671967.2	
OG0015563	XP_015671968.1	
OG0015564	XP_015671974.1	
OG0015565	XP_015672010.1	
OG0015566	XP_015672025.1	
OG0015567	XP_015672036.1	
OG0015568	XP_015672045.1	
OG0015569	XP_015672052.1	
OG0015570	XP_015672057.1	
OG0015571	XP_015672059.1	
OG0015572	XP_015672062.1	
OG0015573	XP_015672114.1	
OG0015574	XP_015672120.1	
OG0015575	XP_015672129.1	
OG0015576	XP_015672174.1	
OG0015577	XP_015672190.1	
OG0015578	XP_015672237.1	
OG0015579	XP_015672241.1	
OG0015580	XP_015672274.1	
OG0015581	XP_015672279.1	
OG0015582	XP_015672317.1	
OG0015583	XP_015672327.1	
OG0015584	XP_015672346.1	
OG0015585	XP_015672373.1	
OG0015586	XP_015672394.1	
OG0015587	XP_015672419.1	
OG0015588	XP_015672452.1	
OG0015589	XP_015672469.1	
OG0015590	XP_015672562.1	
OG0015591	XP_015672660.1	
OG0015592	XP_015672697.1	
OG0015593	XP_015672724.1	
OG0015594	XP_015672735.1	
OG0015595	XP_015672759.1	
OG0015596	XP_015672768.1	
OG0015597	XP_015672807.1	
OG0015598	XP_015672808.1	
OG0015599	XP_015672810.1	
OG0015600	XP_015672817.1	
OG0015601	XP_015672818.1	
OG0015602	XP_015672830.1	
OG0015603	XP_015672834.1	
OG0015604	XP_015672882.1	
OG0015605	XP_015672908.1	
OG0015606	XP_015672912.1	
OG0015607	XP_015672944.1	
OG0015608	XP_015672950.1	
OG0015609	XP_015673017.1	
OG0015610	XP_015673026.1	
OG0015611	XP_015673052.1	
OG0015612	XP_015673057.1	
OG0015613	XP_015673088.2	
OG0015614	XP_015673192.1	
OG0015615	XP_015673194.1	
OG0015616	XP_015673254.1	
OG0015617	XP_015673256.1	
OG0015618	XP_015673294.1	
OG0015619	XP_015673354.1	
OG0015620	XP_015673386.1	
OG0015621	XP_015673388.1	
OG0015622	XP_015673455.1	
OG0015623	XP_015673477.1	
OG0015624	XP_015673500.1	
OG0015625	XP_015673512.1	
OG0015626	XP_015673536.1	
OG0015627	XP_015673617.1	
OG0015628	XP_015673620.1	
OG0015629	XP_015673621.1	
OG0015630	XP_015673702.1	
OG0015631	XP_015673723.1	
OG0015632	XP_015673795.1	
OG0015633	XP_015673802.1	
OG0015634	XP_015673838.1	
OG0015635	XP_015673846.1	
OG0015636	XP_015673861.1	
OG0015637	XP_015673870.1	
OG0015638	XP_015673889.1	
OG0015639	XP_015673897.2	
OG0015640	XP_015673900.2	
OG0015641	XP_015673912.1	
OG0015642	XP_015673915.1	
OG0015643	XP_015673940.1	
OG0015644	XP_015673953.1	
OG0015645	XP_015673960.1	
OG0015646	XP_015674000.1	
OG0015647	XP_015674020.1	
OG0015648	XP_015674087.1	
OG0015649	XP_015674090.1	
OG0015650	XP_015674091.1	
OG0015651	XP_015674115.1	
OG0015652	XP_015674133.1	
OG0015653	XP_015674179.1	
OG0015654	XP_015674184.1	
OG0015655	XP_015674268.1	
OG0015656	XP_015674313.1	
OG0015657	XP_015674376.1	
OG0015658	XP_015674392.1	
OG0015659	XP_015674435.1	
OG0015660	XP_015674448.1	
OG0015661	XP_015674453.1	
OG0015662	XP_015674562.1	
OG0015663	XP_015674570.1	
OG0015664	XP_015674582.1	
OG0015665	XP_015674586.1	
OG0015666	XP_015674593.1	
OG0015667	XP_015674665.1	
OG0015668	XP_015674666.1	
OG0015669	XP_015674706.1	
OG0015670	XP_015674762.1	
OG0015671	XP_015674764.1	
OG0015672	XP_015674778.1	
OG0015673	XP_015674789.1	
OG0015674	XP_015674790.1	
OG0015675	XP_015674801.1	
OG0015676	XP_015674827.1	
OG0015677	XP_015674841.1	
OG0015678	XP_015674848.1	
OG0015679	XP_015674883.1	
OG0015680	XP_015674885.1	
OG0015681	XP_015674890.1	
OG0015682	XP_015674896.1	
OG0015683	XP_015674901.1	
OG0015684	XP_015674913.1	
OG0015685	XP_015674932.2	
OG0015686	XP_015674982.1	
OG0015687	XP_015675077.1	
OG0015688	XP_015675094.1	
OG0015689	XP_015675153.1	
OG0015690	XP_015675154.1	
OG0015691	XP_015675159.1	
OG0015692	XP_015675160.1	
OG0015693	XP_015675171.1	
OG0015694	XP_015675182.1	
OG0015695	XP_015675211.1	
OG0015696	XP_015675213.1	
OG0015697	XP_015675215.1	
OG0015698	XP_015675216.1	
OG0015699	XP_015675239.1	
OG0015700	XP_015675254.1	
OG0015701	XP_015675273.1	
OG0015702	XP_015675285.1	
OG0015703	XP_015675297.1	
OG0015704	XP_015675307.1	
OG0015705	XP_015675331.1	
OG0015706	XP_015675332.1	
OG0015707	XP_015675340.1	
OG0015708	XP_015675355.1	
OG0015709	XP_015675378.1	
OG0015710	XP_015675404.1	
OG0015711	XP_015675420.1	
OG0015712	XP_015675433.1	
OG0015713	XP_015675488.1	
OG0015714	XP_015675544.1	
OG0015715	XP_015675560.2	
OG0015716	XP_015675562.1	
OG0015717	XP_015675597.1	
OG0015718	XP_015675604.1	
OG0015719	XP_015675642.1	
OG0015720	XP_015675658.1	
OG0015721	XP_015675720.1	
OG0015722	XP_015675736.2	
OG0015723	XP_015675791.1	
OG0015724	XP_015675856.1	
OG0015725	XP_015675860.1	
OG0015726	XP_015675907.1	
OG0015727	XP_015675922.1	
OG0015728	XP_015675952.1	
OG0015729	XP_015675971.1	
OG0015730	XP_015675979.1	
OG0015731	XP_015675988.1	
OG0015732	XP_015675989.1	
OG0015733	XP_015675998.1	
OG0015734	XP_015676012.1	
OG0015735	XP_015676032.1	
OG0015736	XP_015676043.1	
OG0015737	XP_015676137.1	
OG0015738	XP_015676156.1	
OG0015739	XP_015676157.1	
OG0015740	XP_015676171.1	
OG0015741	XP_015676214.1	
OG0015742	XP_015676230.1	
OG0015743	XP_015676247.1	
OG0015744	XP_015676268.2	
OG0015745	XP_015676308.1	
OG0015746	XP_015676343.1	
OG0015747	XP_015676348.2	
OG0015748	XP_015676372.1	
OG0015749	XP_015676384.1	
OG0015750	XP_015676388.1	
OG0015751	XP_015676406.1	
OG0015752	XP_015676435.1	
OG0015753	XP_015676447.1	
OG0015754	XP_015676456.1	
OG0015755	XP_015676457.1	
OG0015756	XP_015676468.1	
OG0015757	XP_015676469.1	
OG0015758	XP_015676490.1	
OG0015759	XP_015676522.1	
OG0015760	XP_015676523.1	
OG0015761	XP_015676541.1	
OG0015762	XP_015676611.2	
OG0015763	XP_015676680.1	
OG0015764	XP_015676704.1	
OG0015765	XP_015676727.1	
OG0015766	XP_015676747.1	
OG0015767	XP_015676749.1	
OG0015768	XP_015676766.1	
OG0015769	XP_015676779.1	
OG0015770	XP_015676780.1	
OG0015771	XP_015676785.1	
OG0015772	XP_015676792.1	
OG0015773	XP_015676795.1	
OG0015774	XP_015676796.1	
OG0015775	XP_015676798.1	
OG0015776	XP_015676806.1	
OG0015777	XP_015676819.1	
OG0015778	XP_015676838.1	
OG0015779	XP_015676891.1	
OG0015780	XP_015676900.1	
OG0015781	XP_015676910.1	
OG0015782	XP_015676911.1	
OG0015783	XP_015676940.1	
OG0015784	XP_015676956.1	
OG0015785	XP_015676960.1	
OG0015786	XP_015676970.1	
OG0015787	XP_015676979.2	
OG0015788	XP_015677000.1	
OG0015789	XP_015677018.1	
OG0015790	XP_015677025.1	
OG0015791	XP_015677032.1	
OG0015792	XP_015677080.1	
OG0015793	XP_015677117.1	
OG0015794	XP_015677126.1	
OG0015795	XP_015677137.1	
OG0015796	XP_015677141.1	
OG0015797	XP_015677169.1	
OG0015798	XP_015677180.1	
OG0015799	XP_015677186.1	
OG0015800	XP_015677196.1	
OG0015801	XP_015677204.1	
OG0015802	XP_015677209.1	
OG0015803	XP_015677212.1	
OG0015804	XP_015677216.1	
OG0015805	XP_015677271.1	
OG0015806	XP_015677290.1	
OG0015807	XP_015677299.1	
OG0015808	XP_015677337.1	
OG0015809	XP_015677358.2	
OG0015810	XP_015677374.1	
OG0015811	XP_015677457.1	
OG0015812	XP_015677458.1	
OG0015813	XP_015677539.1	
OG0015814	XP_015677541.1	
OG0015815	XP_015677596.1	
OG0015816	XP_015677602.1	
OG0015817	XP_015677611.1	
OG0015818	XP_015677647.1	
OG0015819	XP_015677732.1	
OG0015820	XP_015677759.1	
OG0015821	XP_015677777.1	
OG0015822	XP_015677787.1	
OG0015823	XP_015677789.1	
OG0015824	XP_015677808.1	
OG0015825	XP_015677816.1	
OG0015826	XP_015677839.1	
OG0015827	XP_015677860.1	
OG0015828	XP_015677863.1	
OG0015829	XP_015677869.1	
OG0015830	XP_015677888.1	
OG0015831	XP_015677893.1	
OG0015832	XP_015677894.1	
OG0015833	XP_015677901.1	
OG0015834	XP_015677902.1	
OG0015835	XP_015677914.1	
OG0015836	XP_015677922.1	
OG0015837	XP_015677951.1	
OG0015838	XP_015677952.1	
OG0015839	XP_015677956.1	
OG0015840	XP_015677975.1	
OG0015841	XP_015677985.1	
OG0015842	XP_015677986.1	
OG0015843	XP_015678024.1	
OG0015844	XP_015678047.1	
OG0015845	XP_015678071.1	
OG0015846	XP_015678076.1	
OG0015847	XP_015678098.1	
OG0015848	XP_015678129.1	
OG0015849	XP_015678138.1	
OG0015850	XP_015678154.1	
OG0015851	XP_015678165.1	
OG0015852	XP_015678193.1	
OG0015853	XP_015678218.1	
OG0015854	XP_015678281.1	
OG0015855	XP_015678299.1	
OG0015856	XP_015678307.2	
OG0015857	XP_015678310.1	
OG0015858	XP_015678314.1	
OG0015859	XP_015678331.1	
OG0015860	XP_015678332.1	
OG0015861	XP_015678340.1	
OG0015862	XP_015678341.1	
OG0015863	XP_015678344.1	
OG0015864	XP_015678371.1	
OG0015865	XP_015678396.1	
OG0015866	XP_015678406.1	
OG0015867	XP_015678420.1	
OG0015868	XP_015678430.1	
OG0015869	XP_015678465.1	
OG0015870	XP_015678468.1	
OG0015871	XP_015678519.1	
OG0015872	XP_015678545.1	
OG0015873	XP_015678572.1	
OG0015874	XP_015678600.1	
OG0015875	XP_015678610.1	
OG0015876	XP_015678666.1	
OG0015877	XP_015678682.1	
OG0015878	XP_015678728.1	
OG0015879	XP_015678742.1	
OG0015880	XP_015678743.1	
OG0015881	XP_015678747.1	
OG0015882	XP_015678750.1	
OG0015883	XP_015678763.1	
OG0015884	XP_015678777.1	
OG0015885	XP_015678814.1	
OG0015886	XP_015678831.1	
OG0015887	XP_015678853.1	
OG0015888	XP_015678910.1	
OG0015889	XP_015678913.1	
OG0015890	XP_015678918.1	
OG0015891	XP_015678922.1	
OG0015892	XP_015678969.1	
OG0015893	XP_015679017.1	
OG0015894	XP_015679037.1	
OG0015895	XP_015679040.1	
OG0015896	XP_015679081.1	
OG0015897	XP_015679165.1	
OG0015898	XP_015679169.1	
OG0015899	XP_015679170.1	
OG0015900	XP_015679175.1	
OG0015901	XP_015679191.2	
OG0015902	XP_015679194.1	
OG0015903	XP_015679201.1	
OG0015904	XP_015679204.1	
OG0015905	XP_015679265.1	
OG0015906	XP_015679283.1	
OG0015907	XP_015679291.1	
OG0015908	XP_015679321.1	
OG0015909	XP_015679329.1	
OG0015910	XP_015679361.2	
OG0015911	XP_015679364.1	
OG0015912	XP_015679365.1	
OG0015913	XP_015679381.1	
OG0015914	XP_015679394.1	
OG0015915	XP_015679401.1	
OG0015916	XP_015679421.1	
OG0015917	XP_015679458.1	
OG0015918	XP_015679484.1	
OG0015919	XP_015679553.1	
OG0015920	XP_015679557.1	
OG0015921	XP_015679567.1	
OG0015922	XP_015679573.1	
OG0015923	XP_015679582.1	
OG0015924	XP_015679621.1	
OG0015925	XP_015679655.1	
OG0015926	XP_015679678.1	
OG0015927	XP_015679703.1	
OG0015928	XP_015679727.1	
OG0015929	XP_015679735.1	
OG0015930	XP_015679763.1	
OG0015931	XP_015679780.1	
OG0015932	XP_015679787.1	
OG0015933	XP_015679823.1	
OG0015934	XP_015679848.1	
OG0015935	XP_015679863.1	
OG0015936	XP_015679902.1	
OG0015937	XP_015679908.1	
OG0015938	XP_015679912.2	
OG0015939	XP_015679917.1	
OG0015940	XP_015679934.1	
OG0015941	XP_015679935.1	
OG0015942	XP_015679943.1	
OG0015943	XP_015679961.1	
OG0015944	XP_015679973.1	
OG0015945	XP_015679976.1	
OG0015946	XP_015679979.1	
OG0015947	XP_015679987.1	
OG0015948	XP_015680004.1	
OG0015949	XP_015680023.1	
OG0015950	XP_015680026.1	
OG0015951	XP_015680030.1	
OG0015952	XP_015680038.1	
OG0015953	XP_015680042.1	
OG0015954	XP_015680063.1	
OG0015955	XP_015680076.1	
OG0015956	XP_015680120.1	
OG0015957	XP_015680164.1	
OG0015958	XP_015680169.1	
OG0015959	XP_015680175.1	
OG0015960	XP_015680182.2	
OG0015961	XP_015680207.1	
OG0015962	XP_015680209.1	
OG0015963	XP_015680212.2	
OG0015964	XP_015680223.1	
OG0015965	XP_015680233.1	
OG0015966	XP_015680235.1	
OG0015967	XP_015680240.1	
OG0015968	XP_015680249.1	
OG0015969	XP_015680255.1	
OG0015970	XP_015680266.1	
OG0015971	XP_015680280.1	
OG0015972	XP_015680283.1	
OG0015973	XP_015680288.1	
OG0015974	XP_015680289.1	
OG0015975	XP_015680318.1	
OG0015976	XP_015680328.1	
OG0015977	XP_015680345.1	
OG0015978	XP_015680364.1	
OG0015979	XP_015680368.1	
OG0015980	XP_015680383.1	
OG0015981	XP_015680426.1	
OG0015982	XP_015680432.1	
OG0015983	XP_015680455.1	
OG0015984	XP_015680475.1	
OG0015985	XP_015680492.1	
OG0015986	XP_015680528.1	
OG0015987	XP_015680531.1	
OG0015988	XP_015680541.1	
OG0015989	XP_015680598.1	
OG0015990	XP_015680599.1	
OG0015991	XP_015680611.1	
OG0015992	XP_015680615.1	
OG0015993	XP_015680616.1	
OG0015994	XP_015680637.1	
OG0015995	XP_015680647.2	
OG0015996	XP_015680653.1	
OG0015997	XP_015680661.1	
OG0015998	XP_015680662.1	
OG0015999	XP_015680680.1	
OG0016000	XP_015680683.1	
OG0016001	XP_015680689.1	
OG0016002	XP_015680690.1	
OG0016003	XP_015680726.1	
OG0016004	XP_015680748.1	
OG0016005	XP_015680809.1	
OG0016006	XP_015680859.1	
OG0016007	XP_015680865.1	
OG0016008	XP_015680879.2	
OG0016009	XP_015680890.1	
OG0016010	XP_015680894.1	
OG0016011	XP_015680930.1	
OG0016012	XP_015680970.1	
OG0016013	XP_015680999.1	
OG0016014	XP_015681037.1	
OG0016015	XP_015681081.1	
OG0016016	XP_015681099.1	
OG0016017	XP_015681107.1	
OG0016018	XP_015681111.1	
OG0016019	XP_015681117.1	
OG0016020	XP_015681133.1	
OG0016021	XP_015681150.1	
OG0016022	XP_015681151.1	
OG0016023	XP_015681157.1	
OG0016024	XP_015681164.1	
OG0016025	XP_015681210.1	
OG0016026	XP_015681216.1	
OG0016027	XP_015681221.1	
OG0016028	XP_015681224.1	
OG0016029	XP_015681227.1	
OG0016030	XP_015681288.1	
OG0016031	XP_015681290.1	
OG0016032	XP_015681304.1	
OG0016033	XP_015681314.2	
OG0016034	XP_015681319.1	
OG0016035	XP_015681323.2	
OG0016036	XP_015681351.1	
OG0016037	XP_015681364.1	
OG0016038	XP_015681396.1	
OG0016039	XP_015681433.1	
OG0016040	XP_015681439.1	
OG0016041	XP_015681445.1	
OG0016042	XP_015681448.1	
OG0016043	XP_015681451.1	
OG0016044	XP_015681469.2	
OG0016045	XP_015681480.1	
OG0016046	XP_015681488.1	
OG0016047	XP_015681506.1	
OG0016048	XP_015681507.1	
OG0016049	XP_015681528.1	
OG0016050	XP_015681551.1	
OG0016051	XP_015681568.1	
OG0016052	XP_015681602.1	
OG0016053	XP_015681620.1	
OG0016054	XP_015681644.1	
OG0016055	XP_015681662.1	
OG0016056	XP_015681695.1	
OG0016057	XP_015681728.1	
OG0016058	XP_015681772.1	
OG0016059	XP_015681804.1	
OG0016060	XP_015681810.1	
OG0016061	XP_015681812.1	
OG0016062	XP_015681849.1	
OG0016063	XP_015681855.1	
OG0016064	XP_015681872.1	
OG0016065	XP_015681873.1	
OG0016066	XP_015681876.1	
OG0016067	XP_015681883.1	
OG0016068	XP_015681890.1	
OG0016069	XP_015681892.1	
OG0016070	XP_015681900.1	
OG0016071	XP_015681914.1	
OG0016072	XP_015681932.1	
OG0016073	XP_015681933.1	
OG0016074	XP_015681937.1	
OG0016075	XP_015681948.1	
OG0016076	XP_015681949.1	
OG0016077	XP_015682034.1	
OG0016078	XP_015682036.1	
OG0016079	XP_015682051.1	
OG0016080	XP_015682100.1	
OG0016081	XP_015682102.1	
OG0016082	XP_015682118.1	
OG0016083	XP_015682123.2	
OG0016084	XP_015682128.1	
OG0016085	XP_015682135.1	
OG0016086	XP_015682145.1	
OG0016087	XP_015682146.1	
OG0016088	XP_015682154.2	
OG0016089	XP_015682157.1	
OG0016090	XP_015682209.1	
OG0016091	XP_015682215.1	
OG0016092	XP_015682224.1	
OG0016093	XP_015682236.1	
OG0016094	XP_015682244.1	
OG0016095	XP_015682245.1	
OG0016096	XP_015682258.2	
OG0016097	XP_015682268.1	
OG0016098	XP_015682284.1	
OG0016099	XP_015682288.1	
OG0016100	XP_015682289.1	
OG0016101	XP_015682329.1	
OG0016102	XP_015682371.1	
OG0016103	XP_015682392.2	
OG0016104	XP_015682397.1	
OG0016105	XP_015682405.1	
OG0016106	XP_015682411.1	
OG0016107	XP_015682425.1	
OG0016108	XP_015682441.1	
OG0016109	XP_015682472.2	
OG0016110	XP_015682492.1	
OG0016111	XP_015682505.1	
OG0016112	XP_015682506.1	
OG0016113	XP_015682558.1	
OG0016114	XP_015682565.1	
OG0016115	XP_015682569.1	
OG0016116	XP_015682592.1	
OG0016117	XP_015682593.1	
OG0016118	XP_015682606.1	
OG0016119	XP_015682617.1	
OG0016120	XP_015682622.1	
OG0016121	XP_015682628.1	
OG0016122	XP_015682635.1	
OG0016123	XP_015682639.1	
OG0016124	XP_015682651.1	
OG0016125	XP_015682660.1	
OG0016126	XP_015682670.1	
OG0016127	XP_015682673.1	
OG0016128	XP_015682712.1	
OG0016129	XP_015682726.1	
OG0016130	XP_015682732.1	
OG0016131	XP_015682737.1	
OG0016132	XP_015682766.1	
OG0016133	XP_015682784.1	
OG0016134	XP_015682788.1	
OG0016135	XP_015682793.1	
OG0016136	XP_015682823.1	
OG0016137	XP_015682824.1	
OG0016138	XP_015682845.1	
OG0016139	XP_015682852.1	
OG0016140	XP_015682877.1	
OG0016141	XP_015682882.1	
OG0016142	XP_015682908.1	
OG0016143	XP_015682918.1	
OG0016144	XP_015682928.1	
OG0016145	XP_015682942.1	
OG0016146	XP_015682951.1	
OG0016147	XP_015682956.2	
OG0016148	XP_015682966.1	
OG0016149	XP_015682970.1	
OG0016150	XP_015682996.1	
OG0016151	XP_015683002.1	
OG0016152	XP_015683004.1	
OG0016153	XP_015683008.1	
OG0016154	XP_015683013.1	
OG0016155	XP_015683049.1	
OG0016156	XP_015683082.1	
OG0016157	XP_015683098.1	
OG0016158	XP_015683104.1	
OG0016159	XP_015683117.1	
OG0016160	XP_015683129.1	
OG0016161	XP_015683134.1	
OG0016162	XP_015683160.1	
OG0016163	XP_015683171.1	
OG0016164	XP_015683174.1	
OG0016165	XP_015683175.1	
OG0016166	XP_015683185.1	
OG0016167	XP_015683198.1	
OG0016168	XP_015683202.1	
OG0016169	XP_015683219.1	
OG0016170	XP_015683230.1	
OG0016171	XP_015683236.1	
OG0016172	XP_015683237.1	
OG0016173	XP_015683252.1	
OG0016174	XP_015683263.1	
OG0016175	XP_015683268.1	
OG0016176	XP_015683289.1	
OG0016177	XP_015683297.1	
OG0016178	XP_015683301.1	
OG0016179	XP_015683302.1	
OG0016180	XP_015683315.1	
OG0016181	XP_015683333.1	
OG0016182	XP_015683366.1	
OG0016183	XP_015683369.1	
OG0016184	XP_015683405.1	
OG0016185	XP_015683423.1	
OG0016186	XP_015683447.1	
OG0016187	XP_015683449.2	
OG0016188	XP_015683462.1	
OG0016189	XP_015683480.1	
OG0016190	XP_015683493.1	
OG0016191	XP_015683498.1	
OG0016192	XP_015683508.1	
OG0016193	XP_015683520.1	
OG0016194	XP_015683523.2	
OG0016195	XP_015683527.1	
OG0016196	XP_015683532.1	
OG0016197	XP_015683548.1	
OG0016198	XP_015683549.1	
